proba_col,threshold,precision,recall,specificity,accuracy,f1,fpr,tn,fp,fn,tp
gating_pred_proba,0.0,0.04436115001235687,0.9999999999999991,0.0,0.04436115001235687,0.08495365805552897,1.0,0,23201,0,1077
gating_pred_proba,0.01,0.07001479185743466,0.922934076137418,0.4309297013059782,0.45275558118461157,0.13015582034817322,0.5690702986940218,9998,13203,83,994
gating_pred_proba,0.02,0.09706068936350178,0.8523676880222834,0.6319124175682083,0.6416920668918362,0.17427622211657007,0.36808758243179174,14661,8540,159,918
gating_pred_proba,0.03,0.12112919487253347,0.7808727948003708,0.7369940950821086,0.7389406046626575,0.2097256857853036,0.2630059049178915,17099,6102,236,841
gating_pred_proba,0.04,0.1443820224719101,0.7158774373259047,0.8030688332399466,0.7992009226460169,0.24029920523581225,0.19693116676005346,18632,4569,306,771
gating_pred_proba,0.05,0.1668622389110537,0.6601671309192195,0.8469893539071591,0.8387017052475492,0.26639190708098165,0.15301064609284082,19651,3550,366,711
gating_pred_proba,0.06,0.18913480885311867,0.6109563602599809,0.8784104133442524,0.8665458439739682,0.28884986830517,0.1215895866557476,20380,2821,419,658
gating_pred_proba,0.07,0.2124171607952563,0.5654596100278547,0.9026766087668635,0.8877172748990856,0.3088235294113676,0.0973233912331365,20943,2258,468,609
gating_pred_proba,0.08,0.22764561115668572,0.515320334261838,0.9188397051851214,0.9009391218387017,0.3157894736837853,0.08116029481487867,21318,1883,522,555
gating_pred_proba,0.09,0.24458058435438254,0.4818941504178269,0.9309081505107538,0.9109893730949831,0.3244763988742015,0.06909184948924615,21598,1603,558,519
gating_pred_proba,0.1,0.2607770090473655,0.4549675023212624,0.940131890866773,0.9186094406458523,0.33152909336895475,0.059868109133227015,21812,1389,587,490
gating_pred_proba,0.11,0.27997601918465215,0.4336118848653664,0.9482349898711262,0.9254057171101409,0.3402550091069911,0.05176501012887375,22000,1201,610,467
gating_pred_proba,0.12,0.2926829268292681,0.4122562674094704,0.9537519934485582,0.9297306203146882,0.3423284502693677,0.04624800655144175,22128,1073,633,444
gating_pred_proba,0.13,0.31158357771260975,0.39461467038068676,0.9595276065686824,0.9344674190625257,0.3482179434652994,0.040472393431317616,22262,939,652,425
gating_pred_proba,0.14,0.32281553398058227,0.3704735376044565,0.9639239687944485,0.9375978251915315,0.34500648508380816,0.03607603120555149,22364,837,678,399
gating_pred_proba,0.15,0.3327510917030565,0.35376044568245096,0.9670703848972028,0.9398632506796276,0.3429342934288431,0.032929615102797294,22437,764,696,381
gating_pred_proba,0.16,0.34604385128693965,0.3370473537604454,0.9704323089522003,0.942334623939369,0.3414863593598008,0.029567691047799664,22515,686,714,363
